Mc,totalmass,chi1z,chi2z,ecc,eta,DL,iota,ra,dec,psi,z
4.217632022425339500e+01,1.045240274649595449e+02,4.244834723873900373e-01,4.950176555501588638e-01,2.564677210316627584e-02,2.203370772805280930e-01,1.005369655012163275e+05,2.946839927169289997e+00,1.732074608194560827e+00,1.230001341427135575e+00,1.960255973547006425e+00,9.544854038187288836e+00
1.478751706373393127e+01,5.585884466498602308e+01,-6.312645755853463214e-01,6.153235638688632214e-01,1.922250995843776539e-02,1.091454200185816709e-01,1.620647759317724558e+05,2.030602799822404325e+00,4.156157711781649944e+00,2.305506250373170474e+00,2.688012324248221230e+00,1.458281596652132350e+01
3.711833921516874568e+01,1.379743985788109057e+02,-8.912462044673288286e-01,3.735417592374272733e-01,1.327332019923418704e-01,1.121114693297453613e-01,1.675069176655018964e+04,1.698398330906664366e+00,1.838701977288720979e+00,3.503220573933941151e-01,4.992637870242106146e+00,2.084700196250335313e+00
4.647585336533218481e+01,3.532769477065908177e+02,1.196294621734717012e-01,3.778429748498384200e-01,1.580245360484369976e-01,3.402933448146475831e-02,1.368270353410922689e+05,1.453809396725818326e+00,4.440501635397641422e+00,9.790873181063852737e-01,8.445028884125140856e-01,1.253722228665247407e+01
3.382950936790119556e+01,3.455898535973138337e+02,-3.585879485871805716e-01,5.312428203669739002e-01,2.189423760069460906e-02,2.079175711995359319e-02,1.441370826368955313e+05,1.487596318233213033e+00,2.348579557891299796e+00,9.527911111326220484e-01,3.439531411183412990e-01,1.313225609902303503e+01
1.566033909519047640e+01,4.200468010781358430e+01,-2.852296232022755174e-02,5.282390352123937927e-01,3.327404550298308783e-02,1.931252830894797934e-01,6.961265898005675990e+04,7.123325091842986900e-01,4.525713306794917123e+00,2.809278292245426023e+00,5.417837738655775226e+00,6.924183220773187486e+00
1.144934460153603339e+01,4.312313595613429129e+01,-1.583342264477937134e-01,1.655868371698954178e-01,1.385257145751290775e-01,1.096774014093336302e-01,8.493736191607071669e+04,1.427728891929733068e+00,6.028710353440025926e+00,5.616797584037689361e-01,4.697868621935323841e-01,8.233272868971685199e+00
1.018090267466494936e+01,2.479956207457691875e+01,-5.923176905742347786e-01,2.208722895381491913e-01,1.573272195441939580e-02,2.267620928369235012e-01,1.347053492699881899e+05,1.016022006443264791e+00,1.882579541136816026e+00,2.197038697200898838e+00,3.970812529919416356e+00,1.236409441336103754e+01
1.620218388803062055e+02,4.046521905412068918e+02,-1.142391613386960492e-01,5.571558657899757794e-01,1.122209967053452301e-02,2.175134425580066699e-01,1.956879017350718204e+05,1.355684229839875909e+00,2.407412756133889165e+00,1.377463163133439528e+00,2.400831596552713165e+00,1.727528765274117006e+01
4.512483327893875185e+01,1.044207245804345376e+02,9.499894793526375558e-02,-8.328253337450466365e-01,1.064656855896918275e-01,2.470101767555944461e-01,4.625496082745741296e+04,1.867823508263075860e+00,1.295695547933759295e+00,1.541890931066415060e+00,5.008234695064870401e+00,4.872426322177922486e+00
5.827862207327402899e+00,1.356768056430439984e+01,2.702183431611526743e-01,-4.579929809807953278e-01,9.496162634875546238e-02,2.445341066316919498e-01,4.667630643413613143e+04,1.922185916851433252e+00,1.486354749610486969e+00,2.065354155737986197e+00,3.512202247993564175e+00,4.910248675148485731e+00
3.249830400871640279e+01,7.533595352642564080e+01,2.847686906769471005e-01,7.733449476922713561e-01,1.341279924939004636e-02,2.462808700540929097e-01,6.809865455860621296e+04,5.764110451881180319e-01,2.056354215115372863e+00,1.588307259403332283e+00,2.367129165399117774e+00,6.793508494535627662e+00
