Mc,eta,chi1z,chi2z,DL,e0
4.044842406406946173e-02,8.081049349678514071e-01,1.273515319739474272e+01,3.813214832183548708e+01,1.402366071292202587e+00,8.265697443449090964e-02
1.087427348374880171e-01,2.296691134720678207e+00,4.668585532495794155e+01,2.186128022113410907e+02,4.311961514080683955e+00,3.013737714648150323e-01
8.799965630867140343e-02,1.079251370723516290e+00,2.433431842150211821e+01,1.014907916789475308e+02,2.079633718316488966e-01,7.071723068195634454e-02
9.635550996781773181e-01,4.723154831138154375e-01,1.913048312951983121e+01,1.376957241846484521e+03,2.316166525823911915e+00,9.316910369571629325e-02
7.987180037432697333e-01,5.486623074440765135e-01,1.254744775788573641e+01,7.683160134411647277e+02,1.148722974692458010e+01,7.831567912444882262e-01
1.130282246916224607e-02,5.882268643559267485e-01,3.993685818474010496e+00,4.139551168700014827e+00,1.683741762651181473e+00,2.565410521926336437e-02
3.140065343943370529e-02,6.783251835095959192e-01,7.236549243491332106e+00,2.611216536454290349e+01,4.871262380587377816e-01,2.081255437411132919e-02
1.040545478161149229e-02,1.027963931337768200e+00,3.404650196351345670e+01,5.068750597842592498e+01,1.789765284870290074e+00,7.708583906144404752e-02
2.292214471821933053e+00,1.107121711969061373e+01,1.706139002133305098e+02,6.966829154832502127e+02,2.148567200808224609e+00,2.421178366420466688e+00
5.770423896718430284e-02,2.148859440252570696e+00,1.002571917370015342e+02,1.000169250140553459e+02,3.115918903220886715e-01,4.406323619530046892e-02
3.200640862692147141e-03,4.368304832531719195e-01,5.332158097539587693e+00,9.693479980029454879e+00,1.055422970047055431e+00,4.810496717689415752e-03
2.660362777833575124e-02,9.946623483167147395e-01,1.364820999519009703e+01,3.378614643124333838e+01,8.513302990013267291e-01,8.657273658667254124e-02
7.196777215604744926e-01,3.304731737160773264e+01,7.534894804802976296e+02,2.330491711561594002e+03,9.826461944645750179e-01,4.368117130265310344e+00
9.094113011567455107e-01,2.669522801866566208e+00,6.131676767282796163e+02,8.300712580345912102e+02,2.728162646083850174e+00,1.295022728030754244e+00
5.653978585890815367e-01,4.802362820090626983e+00,4.587260687461125741e+01,4.882328531344508349e+01,3.317227200322043323e+00,2.199033409306774822e-01
6.476397988781221193e-02,2.742843550933876440e+00,5.443552567526365493e+01,1.220236116627956307e+02,1.702264243225112494e+00,9.042605122917027338e-02
1.271036033896395079e+00,4.821075512415799125e+00,8.940977546135743026e+00,2.772665345999595274e+02,1.367816046036607558e+00,9.948059485580802441e-01
5.034256444218523224e-02,6.767027680066498019e-02,1.653647777610677494e+00,1.291853632807938368e+02,8.338055163248613288e-01,1.170889621894663085e-01
1.053608199674317542e-01,1.081544258439395972e-01,5.579813577220687826e+00,1.216278013024809042e+02,1.013460840011740860e+00,3.190973709490359245e-02
1.939295646284631969e-02,8.242481044749299171e-03,7.912461079246027040e-01,4.073272606880543378e+01,6.673903327096186722e-01,5.328082775537916482e-03
2.174336655726970963e-02,1.353684501778046778e+00,1.415531584663406761e+01,3.222376645040975518e+01,2.270779736634601864e+00,9.019646908540907004e-02
3.263900083636812888e-02,1.739464515075468398e+00,4.830646885562299531e+01,6.055320050408609234e+01,8.477922472970151890e-01,5.327393437926383063e-02
1.675574881593500098e-01,1.172735044592082138e-01,7.351867466260777029e+00,2.806278928336162721e+02,4.751897466020012395e+00,1.669555900101926393e-01
2.968417648861233493e-01,5.587862065174611814e+00,6.985721052799163999e+01,1.220231445011545475e+02,1.978235453649583420e+00,3.334051978021699836e-01
2.192893557523151737e-01,3.319955208028503968e+00,4.545523185107179387e+01,6.905217459380473599e+01,8.618078107171482927e-01,1.839441070324837613e-01
4.194077242009048301e-01,4.776346216550272916e-01,1.180138490371633431e+01,5.276703727701659545e+02,1.596284516906807172e+00,9.094880425908247190e-02
1.085853905405747888e+00,1.109612656816905663e+01,1.855036734823857216e+02,3.339568888826801754e+02,3.607704297316095321e+00,5.212358683577946739e-01
2.251966383077771972e-01,2.719632791193838384e-01,1.928540618786781735e+00,2.207210468475541632e+02,3.741638135716951918e+00,5.891091850716440037e-02
6.997653973113970860e-02,2.684655335942166765e+00,3.359579401869130066e+01,7.895915616545107696e+01,1.735455564078411062e+00,2.487961737930641237e-01
5.858709419608638252e-02,3.553262772745147569e+00,3.635195325764819785e+01,3.604307272209342017e+01,1.412250944441652001e+00,5.142052165538408409e-02
4.491182921918965981e-02,1.302044827935489701e+00,2.492322669065859841e+01,1.063004535916017943e+02,1.070130495049002928e+00,3.742364659057310916e-02
3.008117437002965494e-02,4.446291945504023402e-01,5.779015837098308239e+00,4.313041360851198647e+01,1.249343123997235905e+00,1.446264342535240853e-02
2.175396068991255483e-01,1.023452318337063405e+00,3.848851710985316288e+01,1.003181465001880781e+02,1.530154004523197164e+00,4.019199782315679981e-01
6.801668766115499531e-01,6.605873844672686956e-02,1.694581544239815685e+01,7.554585936241028321e+02,3.110220331529708115e+00,8.608609981014230250e-01
6.514437713862152035e-02,3.770251441573161610e+00,4.572034086365158032e+02,4.571208640228566651e+02,1.320334655125522838e+00,2.123792190783232725e-01
1.505985253845199434e+00,1.850115594697766319e+00,4.422583396510351150e+01,6.653014052287707045e+02,6.041693394931987093e+00,1.726805887428636832e-01
1.371492259124032151e-02,1.053790134981893001e+00,8.318086136631844738e+02,8.352560405870742670e+02,1.342913526126051860e+00,1.142146851132066487e-01
2.907250554451889461e-03,3.579665346479517923e-02,8.554650263528668086e-01,5.894981733005804969e+00,1.183349113324972723e+00,2.019269916132544578e-03
2.233697534737801305e-01,2.115453081776780819e-01,1.344894492434492106e+00,1.629686117916388639e+02,2.027973521468658724e+00,6.148103411678212254e-02
9.642712452439554036e-03,5.395675634010519556e-02,1.640070219614793157e-01,1.004179757786947746e+01,1.338354734242566568e+00,4.817059538659813206e-03
4.505948132200693346e-01,6.790598205633268769e+00,1.210549695925863212e+01,5.927425781859714249e+01,9.627712320542090030e-01,4.933634686520386170e-01
4.275778064146280172e-02,8.947340360276099247e-01,8.673520457646041848e+00,5.588846123335395077e+01,3.202750710567244141e+00,8.040629741206699321e-02
3.447388067142128643e-01,3.761875025732597244e+00,4.508195056361152098e+01,4.890315444704045689e+01,2.113970329153236793e+00,2.287866195264083025e-01
1.554573422919356407e-01,1.055482159740518844e+00,4.663046305256839474e+01,9.865662100557945280e+01,1.868650812250316484e+00,5.448495387052908895e-02
3.063053204788501738e-03,2.268965551572617034e-01,9.077974354714409833e-01,3.561513143013217420e+00,2.306932108273729742e+00,2.824582792103498205e-02
6.060011732556468828e-02,6.651104734199529966e-01,9.625256698987328718e+00,1.254468616720095326e+02,3.036212734550699288e+00,3.134994058627969538e-01
6.191257177940067136e-01,4.250944203279032330e+00,8.627845462764135220e+01,2.382770449478424837e+02,8.869608224353142667e-01,2.345290587185811515e-01
1.095268570894384896e-01,5.362046248996609615e-02,2.842294420394757992e+00,1.685938577972741257e+02,2.212321945200020235e+00,1.458381805327195191e-01
3.916558147078715718e-02,2.617370814428558567e+00,6.367242292206569232e+01,1.073682183418948455e+02,1.699636475367330535e+00,1.600017224839179741e-01
1.048817861994232187e-01,4.686409768522345476e-01,2.063762076597004391e+00,5.409528963150840042e+01,2.004799322753836321e+00,1.015772031624151278e-01
3.208407779220212586e-01,1.891032634095078047e+00,4.646648372648232339e+01,1.371929098239490372e+02,1.160211496903038375e+00,8.028716317684415904e-02
2.128624918443822178e-01,5.236438788977694214e-01,2.061255931638301320e+01,9.842263129218042650e+01,1.994220316883201338e+00,1.087893096333834159e-01
1.802596928608701243e-01,3.428594607650451986e-01,9.224317286649219128e+00,2.844376095708498653e+01,5.409260737761346638e-01,7.713653009859695875e-02
2.381359597699956587e-01,3.209629457469320157e-01,1.058935512261243339e+01,2.042937966441510014e+02,4.628337053070731066e+00,6.399436878849454891e-01
7.075848638850153194e-02,2.889555825062001038e+00,7.156088228821302266e+01,1.080726150768451532e+02,9.253994648775253351e-01,9.909643845081558822e-02
1.247511381015594389e-01,4.568434579744699242e+00,7.439022993730816324e+01,1.400233407827354029e+02,1.521747360383976178e+00,8.205551104472258439e-02
9.017430761056530186e-02,1.273456189354746471e+00,1.434892326890141590e+01,8.559726223102474307e+01,8.676361690413916250e-01,3.846561906127827779e-01
1.141842843343589264e-01,4.307159386814494173e-01,4.806362394937931271e+00,9.055952842951542436e+01,1.460804995028103903e+00,3.806890777094747436e-01
5.655546022039311005e+00,1.822654346222823207e+01,1.463159612648375685e+02,1.359152377421885376e+03,1.101953380743252886e+01,2.890476154338086356e+00
1.829049434219572889e-01,8.874931120217098846e-01,6.954206603445292068e+00,1.005966243446412705e+02,8.194374809090635425e-01,6.703350635435217919e-01
5.614905360184357930e-01,5.823133485454673242e+00,1.263169343818711781e+02,4.348027075352760562e+02,4.355381190659951329e+00,4.088388403455465725e-01
1.428489955749622231e-01,6.233016492155780686e-01,2.274619443841768174e+01,5.590282711325727405e+01,1.127317669653770782e+00,2.128285931076419613e-01
2.193633001082373024e+00,7.297377897406800429e+00,1.767173400478365295e+02,5.226102331776115761e+02,5.214982933299574519e+00,4.522188358754597459e-01
1.055397651407561227e-01,1.643827769370271197e+00,2.590241969985747872e+01,6.944007029534509456e+01,8.222589510601366891e-01,3.286759979885526262e-01
2.463644666773012193e-01,1.526907506723490293e+01,1.267915043756532611e+02,1.756363464211626990e+02,1.615435667415494381e+00,2.157933403590541477e-01
2.432318111130984395e+00,4.353466087980625510e+00,1.637770841796307423e+03,1.531358979125344831e+03,2.311867308037072632e+00,1.720000183186145115e+00
2.746926175067745945e-01,6.833704656055819004e-01,1.015334632770716006e+01,1.776363111179288410e+02,2.399113083617563369e+00,1.059670702611774512e-01
9.218916860829327875e-02,5.965458414834939882e-01,1.757217197996401836e+01,1.519208576325997626e+02,3.888064080326171790e-01,1.032886017843341747e-01
5.825346582385224070e-02,4.175815016916089584e-01,6.357774816730873226e+02,7.138472846394250837e+02,5.050524657014590524e+00,2.078994304920123992e-01
5.430094488034942213e-02,4.827166714492780564e+00,7.760003010025450010e+01,1.428418281413038926e+02,6.632707373448034183e+00,5.164100307029600295e-02
1.209376826783285785e-01,1.035413756440409339e+00,3.071902537621605145e+00,5.046314715592844635e+01,8.184688178643149126e-01,1.217635716073549729e-01
1.627056985625889851e-01,1.015970541807774019e+00,8.744833167094412829e+00,6.680643428426184016e+01,2.162878162980662822e+00,2.272092894403313079e-01
1.484672686224545665e-02,1.812432948492376794e-01,2.735651860109514999e+00,2.485803052673091429e+01,1.264400739823503095e+00,6.065338681218491318e-03
3.226738963891173650e-01,2.004652904426035942e+00,4.241085972472018284e+01,1.635284090296339912e+02,8.725963200756741145e-01,9.949975459646039910e-01
3.799439716644795961e+00,6.748657371582061160e+01,4.416564400837477820e+02,3.343348089432168422e+02,5.084804277106651504e+00,5.963239121274816590e+00
3.411511558512238945e-04,1.885365799967577208e-02,4.019589686850236765e-01,1.373343400274754655e+00,7.703795064783866553e-02,9.762080672426654308e-04
2.129852122625139343e-02,1.023982794916384220e+00,1.905489356531815304e+01,5.864003138036861884e+01,7.443401663786228806e-01,9.177093224000359983e-02
8.918672317187244236e-03,7.126759737075053502e-01,4.396063735886119161e+01,5.492783422667417170e+01,1.421889592386947232e+00,4.629968942749407984e-02
2.558284119521291311e-01,5.711527669014813569e+00,9.015297117786941783e+01,1.322407917183650170e+02,1.927451546871161714e+00,1.437086694088473005e-01
4.219920005447328926e+00,9.236997186182898645e+01,2.608036472069331467e+03,3.529892103697513903e+03,3.856529427152234568e+00,3.625074667069851930e+00
2.043173703730767343e-01,5.675668339015902397e-01,1.005510764002004898e+01,1.360135881973540677e+02,3.269480923441592246e+00,1.671488427994060055e-01
1.750705599550210663e-03,1.030479697546232004e-01,2.580863566366953243e+00,8.407184226351068546e+00,2.725276239815033641e+00,1.514765046645673817e-02
1.261474566783027905e-02,1.307112350321297578e+00,1.757079902222497836e+01,3.132519777861133292e+01,2.558665520649149538e+00,2.567057475964490409e-02
2.552770240266448720e-01,3.654131692332841741e+00,8.514011318527040828e+01,1.803696164554094992e+02,2.009244387858868386e+00,1.164133652600219393e-01
4.322932578851533796e-04,3.513054709411922438e-02,1.025353933181280430e+00,1.426391413622682514e+00,3.881594705343970886e-01,8.013539692669752581e-04
2.464781666034604468e-01,3.428755664847409901e-01,2.306390249356693012e+00,3.152742708903348330e+02,2.277980469833665200e+00,2.974637058488404096e-01
